
P1_elbow_lP1_whole_dist_traveled	P1_shoulder_lP1_whole_dist_traveled	P1_headP1_whole_dist_traveled	P1_hand_lP1_whole_dist_traveled	P1_hand_rP1_whole_dist_traveled	P1_elbow_rP1_whole_dist_traveled	P1_shoulder_rP1_whole_dist_traveled
120.799	66.335	280.529	439.527	412.085	105.111	54.581
120.799	66.711	282.466	439.812	412.555	105.111	54.794
120.799	66.954	284.235	440.070	412.999	105.398	54.794
120.799	67.253	285.947	440.317	413.363	105.398	55.180
120.799	67.487	287.575	440.603	414.009	105.398	55.425
121.032	67.745	289.210	440.868	414.357	105.707	55.644
121.032	67.972	290.692	441.147	414.769	105.707	55.889
121.032	67.972	292.205	441.446	415.257	105.940	56.093
121.032	68.366	293.720	441.787	415.647	105.940	56.313
121.032	68.592	295.238	442.130	415.985	106.152	56.313
121.270	68.592	296.721	442.536	416.352	106.152	56.687
121.270	68.928	298.243	443.041	416.771	106.389	56.687
121.520	68.928	299.701	443.610	417.251	106.677	57.016
121.520	69.191	301.276	444.243	417.612	106.677	57.016
121.888	69.191	302.827	444.866	417.893	106.966	57.277
122.485	69.542	304.419	445.514	418.138	106.966	57.277
122.714	69.542	306.058	446.141	418.358	107.189	57.590
122.714	69.841	307.741	446.636	418.358	107.189	57.590
122.989	69.841	309.660	447.009	418.682	107.189	57.849
122.989	70.120	311.320	447.320	418.682	107.442	57.849
123.215	70.120	312.995	447.658	419.032	107.442	58.164
123.215	70.383	314.497	448.067	419.032	107.442	58.164
123.215	70.383	316.017	448.405	419.399	107.680	58.478
123.502	70.826	317.249	448.729	419.610	107.680	58.478
123.502	70.826	318.404	449.020	419.610	107.946	58.844
123.502	70.826	319.343	449.272	419.978	107.946	58.844
123.790	71.029	320.135	449.272	419.978	108.206	59.237
123.790	71.029	320.690	449.580	420.291	108.206	59.448
123.995	71.029	321.074	449.580	420.291	108.426	59.448
123.995	71.242	321.074	449.906	420.291	108.426	59.789
124.200	71.242	321.381	450.166	420.573	108.426	59.789
124.200	71.242	321.614	450.500	420.573	108.723	59.789
124.411	71.458	322.009	450.831	420.950	108.723	60.029
124.411	72.036	322.413	451.148	420.950	109.006	60.029
124.629	72.036	322.813	451.475	421.312	109.006	60.029
124.629	72.036	323.275	451.824	421.567	109.006	60.833
124.629	72.276	323.816	452.272	421.858	109.006	60.833
124.935	72.276	324.549	452.732	422.182	109.006	61.035
124.935	72.276	325.264	453.253	422.576	109.006	61.035
125.580	72.564	326.086	453.755	423.017	109.006	61.335
125.580	72.564	327.065	454.254	423.523	109.006	61.335
125.866	72.787	328.072	454.740	424.086	109.006	61.560
125.866	72.787	329.104	455.290	424.700	109.236	61.560
126.154	72.787	330.241	455.872	425.413	109.236	61.818
126.154	73.026	331.426	456.523	426.108	109.614	61.818
126.636	73.026	332.640	457.292	426.926	109.839	62.164
126.936	73.026	334.220	458.146	427.824	110.082	62.164
127.180	73.026	335.686	458.973	428.664	110.390	62.404
127.430	73.290	337.409	459.850	429.526	110.634	62.404
127.668	73.290	338.916	460.933	430.451	110.851	62.640
127.936	73.509	340.488	461.945	431.420	111.064	62.640
127.936	73.509	342.188	462.940	432.266	111.265	62.924
128.325	73.740	343.940	463.734	433.095	111.517	62.924
128.325	73.740	345.775	464.549	433.893	111.517	63.333
128.550	74.021	347.798	465.278	434.474	111.876	63.333
128.550	74.021	349.880	465.951	434.931	111.876	63.668
128.550	74.021	352.023	466.509	435.427	112.110	63.668
128.756	74.290	354.444	466.978	435.968	112.110	63.668
128.756	74.290	357.007	467.332	436.550	112.110	63.879
128.756	74.290	359.796	467.689	437.027	112.110	63.879
129.000	74.290	362.637	468.183	437.543	112.399	64.085
129.000	74.538	365.813	468.856	438.045	112.399	64.085
129.352	74.538	369.079	469.657	438.696	112.643	64.436
129.603	74.842	372.517	470.389	439.432	112.643	64.436
129.909	74.842	376.135	471.245	440.303	112.979	64.845
130.265	75.118	379.867	472.105	441.488	112.979	65.055
130.682	75.118	383.650	473.159	442.703	113.402	65.275
131.119	75.398	387.558	474.456	444.389	113.683	65.275
131.663	75.398	391.592	476.265	446.449	114.003	65.708
132.135	75.805	395.739	478.663	448.934	114.256	65.956
132.534	76.081	399.910	481.561	451.779	114.525	66.173
132.882	76.528	404.085	484.968	455.036	114.750	66.406
133.275	76.998	408.305	488.644	458.639	114.750	66.742
133.684	77.457	412.535	492.617	462.552	115.161	67.065
134.112	77.798	416.722	496.841	466.726	115.378	67.426
134.438	78.146	420.918	501.318	471.049	115.610	67.789
134.721	78.475	425.035	506.243	475.626	115.840	68.049
