Head_X	Head_Y	Head_Z	LHand_X	LHand_Y	LHand_Z	RHand_X	RHand_Y	RHand_Z
71.273	51.972	42.699	118.153	100.143	213.854	132.508	32.534	216.749
71.596	51.972	43.049	119.358	104.213	214.803	136.325	33.622	217.980
71.882	52.180	43.416	120.156	108.324	215.464	139.981	34.802	218.985
72.149	52.180	43.775	120.938	112.242	216.033	143.428	36.279	219.763
72.421	52.180	44.154	121.531	116.025	216.445	146.733	37.872	220.308
72.706	52.180	44.435	122.117	119.874	216.445	150.029	39.639	220.771
72.926	52.180	44.669	122.680	123.595	216.445	153.187	41.499	220.771
73.139	52.180	44.669	123.088	126.968	216.445	156.317	43.456	221.069
73.139	52.180	45.027	123.877	130.774	216.445	159.545	45.374	221.069
73.547	52.180	45.027	124.857	134.545	216.823	162.768	47.297	221.601
73.547	52.180	45.329	125.856	138.372	216.823	166.107	49.121	222.106
73.953	52.430	45.329	127.008	141.850	217.067	169.212	50.878	222.823
73.953	52.430	45.329	128.635	145.072	217.067	172.352	52.276	223.452
74.305	52.430	45.329	130.626	147.623	217.310	175.670	52.869	223.818
74.305	52.430	45.329	133.093	149.919	217.310	178.756	52.869	224.154
74.655	52.669	45.329	135.958	151.359	217.310	181.720	53.761	224.364
74.655	52.669	45.604	138.813	152.569	217.775	184.469	54.680	224.580
74.981	52.669	45.604	141.600	153.625	218.314	186.956	55.652	225.092
74.981	52.888	45.897	144.118	154.022	218.659	189.364	56.721	225.520
75.328	52.888	45.897	146.815	154.756	219.111	191.718	57.941	225.932
75.591	53.139	46.237	149.358	155.440	219.313	193.982	59.021	226.166
75.900	53.139	46.237	151.869	156.038	219.539	196.299	60.130	226.389
76.303	53.555	46.508	154.360	156.697	219.539	198.531	61.134	226.389
76.804	53.808	46.508	156.624	157.333	219.539	200.792	62.104	226.389
77.348	54.097	46.508	158.864	157.940	219.539	203.043	63.202	226.389
78.025	54.430	46.508	161.181	158.427	219.539	205.287	64.192	226.600
78.851	54.806	46.508	163.246	158.859	219.743	207.391	65.109	226.600
79.739	55.275	46.922	165.268	159.260	219.743	209.520	66.161	226.600
80.727	55.749	47.197	167.158	159.479	219.743	211.509	67.155	226.926
81.885	56.285	47.589	168.888	159.479	219.743	212.947	67.980	226.926
