P1_head_pos_head_X	P1_head_pos_head_Y	P1_head_pos_head_Z
-63.398	-25.817	1238.668
-63.268	-25.974	1238.567
-63.128	-26.129	1238.429
-63.005	-26.284	1238.306
-62.902	-26.451	1238.184
-62.731	-26.581	1238.111
-62.617	-26.747	1238.029
-62.513	-26.883	1237.952
-62.414	-27.036	1237.916
-62.340	-27.212	1237.821
-62.263	-27.357	1237.766
-62.199	-27.556	1237.691
-62.124	-27.764	1237.626
-62.071	-27.987	1237.569
-62.026	-28.180	1237.514
-61.972	-28.392	1237.468
-61.910	-28.585	1237.412
-61.879	-28.783	1237.378
-61.854	-28.992	1237.341
-61.806	-29.176	1237.303
-61.767	-29.380	1237.262
-61.711	-29.576	1237.245
-61.644	-29.755	1237.207
-61.569	-29.973	1237.169
-61.498	-30.142	1237.126
-61.420	-30.360	1237.080
-61.324	-30.522	1237.051
-61.248	-30.680	1236.983
-61.165	-30.819	1236.954
-61.096	-30.961	1236.931
-61.027	-31.070	1236.915
-60.947	-31.162	1236.884
-60.855	-31.244	1236.856
-60.789	-31.283	1236.815
-60.717	-31.327	1236.786
-60.657	-31.378	1236.716
-60.596	-31.372	1236.688
-60.539	-31.375	1236.676
-60.489	-31.363	1236.676
-60.448	-31.332	1236.655
-60.395	-31.276	1236.670
-60.374	-31.212	1236.692
-60.340	-31.150	1236.734
-60.344	-31.076	1236.772
-60.349	-31.023	1236.841
-60.400	-30.985	1236.914
-60.458	-30.933	1237.014
-60.503	-30.889	1237.082
-60.578	-30.840	1237.173
-60.644	-30.782	1237.267
-60.723	-30.720	1237.379
-60.817	-30.656	1237.498
-60.915	-30.590	1237.624
-61.045	-30.531	1237.786
-61.170	-30.463	1237.965
-61.320	-30.413	1238.161
-61.487	-30.386	1238.379
-61.670	-30.356	1238.619
-61.853	-30.353	1238.859
-62.031	-30.362	1239.114
-62.240	-30.434	1239.342
-62.500	-30.514	1239.632
-62.762	-30.508	1239.965
-62.981	-30.536	1240.301
-63.206	-30.570	1240.641
-63.451	-30.610	1240.948
-63.696	-30.622	1241.295
-63.976	-30.717	1241.709
-64.242	-30.788	1242.221
-64.478	-30.828	1242.729
-64.754	-30.915	1243.242
-65.045	-31.076	1243.715
-65.286	-31.158	1244.275
-65.548	-31.246	1244.930
-65.809	-31.402	1245.562
-66.087	-31.566	1246.101
-66.335	-31.608	1246.727
-66.548	-31.729	1247.277
-66.753	-31.894	1247.865
-66.924	-32.012	1248.510
-67.036	-32.317	1249.243
-67.174	-32.103	1249.623
-67.241	-32.227	1250.181
-67.266	-32.508	1250.928
-67.347	-32.564	1251.612
-67.361	-32.586	1252.259
-67.406	-32.290	1252.781
-67.376	-32.637	1253.709
-67.410	-32.712	1254.448
-67.363	-32.753	1255.158
-67.314	-32.865	1255.953
-67.290	-33.039	1256.744
-67.221	-33.175	1257.505
-67.137	-33.433	1258.274
-67.064	-33.703	1258.979
-66.925	-34.033	1259.725
-66.749	-34.340	1260.406
-66.596	-34.688	1261.060
-66.466	-35.135	1261.767
-66.298	-35.576	1262.499
-66.083	-36.009	1263.144
-65.894	-36.441	1263.857
-65.710	-36.849	1264.561
-65.463	-37.183	1265.172
-65.205	-37.638	1265.783
-64.942	-38.184	1266.501
-64.686	-38.558	1267.053
-64.387	-38.966	1267.606
-64.116	-39.421	1268.192
-63.851	-39.972	1268.801
-63.485	-40.423	1269.336
-63.131	-40.836	1269.836
-62.748	-41.249	1270.339
-62.357	-41.726	1270.835
-61.943	-42.144	1271.296
-61.558	-42.539	1271.805
-61.066	-42.810	1272.208
-60.593	-43.107	1272.699
-60.045	-43.428	1273.185
-59.450	-43.736	1273.683
-58.851	-43.999	1274.100
-58.155	-44.212	1274.526
-57.473	-44.369	1274.980
-56.755	-44.524	1275.400
-56.043	-44.681	1275.793
-55.177	-44.811	1276.171
