P1_hands_dir_Distance_X	P1_hands_dir_Distance_Y	P1_hands_dir_Distance_Z
75.494	-186.171	-28.308
76.976	-186.372	-30.375
77.892	-187.224	-32.491
78.639	-187.569	-34.285
79.214	-188.207	-35.884
79.213	-188.674	-37.074
78.971	-189.158	-38.069
78.566	-189.588	-38.730
78.065	-190.047	-39.244
77.575	-190.400	-39.583
76.474	-190.321	-40.058
76.752	-190.590	-39.810
76.253	-190.342	-39.844
75.718	-190.046	-39.822
75.260	-189.187	-39.638
74.656	-188.039	-39.054
74.066	-186.817	-38.368
73.608	-185.534	-37.231
73.082	-184.175	-35.863
72.529	-182.813	-34.220
72.286	-181.645	-32.184
71.834	-180.343	-29.525
71.167	-178.920	-26.525
70.603	-177.668	-23.661
70.195	-176.576	-20.957
69.760	-175.485	-18.605
69.489	-174.429	-16.794
69.286	-173.413	-15.421
69.125	-172.502	-14.438
68.981	-171.574	-13.523
68.793	-170.832	-12.681
68.492	-169.856	-11.825
68.326	-169.185	-11.306
68.219	-168.908	-11.180
68.194	-168.653	-11.198
68.209	-168.511	-11.376
68.232	-168.533	-11.587
68.218	-168.598	-11.752
68.228	-168.633	-11.934
68.262	-168.744	-12.051
68.261	-168.814	-12.066
68.280	-168.912	-12.053
68.262	-168.958	-11.993
68.243	-169.044	-11.904
68.236	-169.107	-11.880
68.277	-169.202	-11.831
68.304	-169.251	-11.788
68.336	-169.367	-11.760
68.394	-169.459	-11.767
68.430	-169.527	-11.829
68.461	-169.674	-11.888
68.516	-169.836	-12.033
68.548	-169.979	-12.128
68.625	-170.116	-12.177
68.679	-170.234	-12.241
68.739	-170.442	-12.219
68.806	-170.711	-12.223
68.930	-171.028	-12.150
68.997	-171.431	-12.090
69.091	-171.925	-12.101
69.223	-172.517	-12.072
69.315	-173.147	-12.017
69.405	-173.798	-11.948
69.521	-174.336	-11.898
69.664	-174.891	-11.799
69.857	-175.798	-11.618
70.049	-176.699	-11.519
70.207	-177.454	-11.602
70.285	-178.082	-11.725
70.425	-178.657	-11.897
70.553	-179.139	-12.146
70.618	-179.521	-12.294
70.692	-179.834	-12.392
70.774	-180.090	-12.399
70.817	-180.238	-12.368
70.828	-180.352	-12.375
70.826	-180.386	-12.284
70.809	-180.403	-12.250
70.753	-180.460	-12.153
70.794	-180.579	-12.133
70.780	-180.666	-12.121
