P1_hand_lP1_hands_pos_X	P1_hand_lP1_hands_pos_Y	P1_hand_lP1_hands_pos_Z	P1_hand_rP1_hands_pos_X	P1_hand_rP1_hands_pos_Y	P1_hand_rP1_hands_pos_Z
-106.668	97.380	982.538	-44.283	-42.784	985.329
-106.124	97.332	982.426	-43.998	-42.380	985.348
-105.656	97.364	982.406	-43.607	-42.027	985.471
-105.345	97.519	982.469	-43.146	-41.759	985.706
-105.238	97.778	982.692	-42.797	-41.587	985.982
-105.240	98.135	983.033	-42.434	-41.472	986.331
-105.420	98.615	983.470	-42.085	-41.430	986.688
-105.592	99.199	983.991	-41.553	-41.464	987.062
-105.629	99.771	984.445	-40.971	-41.492	987.512
-105.550	100.501	984.886	-40.224	-41.387	987.947
-105.223	101.200	985.265	-39.140	-41.208	988.393
-104.634	101.990	985.637	-38.030	-40.980	988.828
-103.684	102.851	985.836	-36.521	-40.324	989.193
-102.070	103.658	985.962	-34.670	-39.480	989.528
-99.985	104.827	986.152	-32.494	-38.309	989.790
-97.338	106.006	986.133	-30.020	-36.920	989.997
-94.196	107.318	986.001	-27.219	-35.262	990.073
-90.805	108.738	985.941	-24.134	-33.400	990.027
-87.216	110.438	985.956	-20.759	-31.419	990.001
-83.379	112.201	985.828	-17.106	-29.406	989.864
-79.370	114.195	985.830	-13.265	-27.424	989.754
-74.978	116.421	985.712	-9.151	-25.424	989.611
-70.663	118.837	985.607	-4.869	-23.513	989.553
-66.093	121.423	985.444	-0.485	-21.794	989.537
-61.481	124.141	985.250	4.073	-20.222	989.704
-56.848	127.116	985.149	8.698	-18.733	989.928
-52.193	130.375	985.102	13.364	-17.288	990.314
-47.580	133.797	985.207	18.148	-15.495	990.515
-43.083	137.313	985.053	22.956	-13.408	990.514
-38.751	140.856	985.052	28.212	-11.106	989.945
-34.444	144.486	984.937	33.314	-8.675	988.994
-30.190	148.161	984.704	38.233	-6.247	987.926
-25.817	151.841	984.423	42.954	-3.827	986.835
-21.434	155.497	984.070	47.581	-1.403	985.792
-17.079	158.974	983.722	51.966	1.165	984.690
-12.883	162.170	983.354	56.038	3.623	983.596
-8.747	165.130	983.009	59.811	6.221	982.465
-4.532	167.837	982.410	63.206	8.886	981.387
-0.286	170.217	981.925	66.104	11.644	980.251
3.904	172.401	981.155	68.463	14.308	979.042
8.262	174.354	980.116	70.467	17.030	977.663
12.486	175.855	979.002	72.206	19.641	975.928
16.461	176.830	977.812	73.678	22.164	973.855
20.300	177.429	976.504	75.004	24.695	971.669
24.239	177.465	975.110	76.065	26.789	969.416
28.282	177.726	973.650	77.059	29.360	966.928
31.947	177.190	972.148	77.977	31.773	964.355
35.343	176.502	970.614	78.967	34.051	961.720
38.410	175.741	969.135	80.125	36.015	959.355
41.109	175.159	967.698	81.430	37.637	956.963
43.232	174.901	966.265	82.729	38.981	954.828
45.043	175.146	964.918	83.846	40.087	953.315
46.518	175.771	963.763	85.338	40.935	951.848
47.709	176.513	962.700	86.794	41.629	950.571
48.629	177.304	961.915	88.149	41.986	949.573
49.567	177.997	960.974	89.463	42.569	948.758
50.250	178.366	960.122	90.565	42.911	948.221
50.709	178.475	959.599	91.574	43.312	947.843
51.079	178.322	959.165	92.163	43.350	947.622
51.390	177.930	958.743	92.616	43.285	947.475
51.520	177.449	958.311	92.977	43.130	947.595
51.707	176.952	957.642	93.132	42.885	947.891
51.851	176.436	956.964	93.135	42.586	948.397
51.962	175.703	956.159	93.022	42.283	948.995
52.099	174.658	955.203	92.746	41.990	949.866
51.937	173.523	954.400	92.237	41.608	950.871
51.615	172.046	953.632	91.728	41.205	951.821
51.487	170.676	952.857	91.220	40.848	952.863
51.419	169.092	951.920	90.531	40.273	953.955
51.272	167.608	951.194	89.901	39.661	954.865
51.179	166.114	950.774	89.232	39.063	955.875
