Head_X	Head_Y	Head_Z	RHand_X	RHand_Y	RHand_Z	LHand_X	LHand_Y	LHand_Z
97.432	99.938	28.709	66.733	89.956	28.384	25.985	53.812	19.412
97.740	99.938	28.709	66.733	89.956	28.642	25.985	54.100	19.412
97.740	100.283	28.709	66.733	90.174	28.642	26.280	54.404	19.412
98.062	100.498	28.709	66.733	90.174	28.875	26.280	54.687	19.412
98.062	100.720	28.709	66.733	90.455	28.875	26.509	54.919	19.655
98.459	100.987	28.959	66.992	90.455	29.249	26.509	54.919	19.655
98.667	101.240	28.959	66.992	90.740	29.249	26.509	55.244	19.655
98.924	101.599	29.270	66.992	90.740	29.660	26.803	55.244	19.655
99.165	101.894	29.270	67.229	90.971	29.660	26.803	55.244	19.655
99.406	102.207	29.564	67.229	90.971	29.947	26.803	55.244	19.888
99.656	102.541	29.564	67.229	90.971	29.947	27.067	55.244	19.888
99.907	102.903	29.895	67.468	90.971	30.165	27.067	55.244	19.888
100.250	103.344	30.117	67.468	90.971	30.165	27.067	55.244	19.888
100.629	103.881	30.337	67.468	90.971	30.165	27.322	55.244	19.888
101.074	104.526	30.543	67.468	90.971	30.165	27.322	55.244	20.110
101.546	105.173	30.743	67.694	90.971	30.165	27.528	55.244	20.110
101.999	105.873	30.743	67.694	90.971	30.165	27.528	55.244	20.110
102.465	106.531	31.070	67.694	90.971	30.165	27.743	55.244	20.110
103.003	107.303	31.070	67.694	91.204	30.165	27.743	55.244	20.110
103.482	108.062	31.432	67.694	91.204	30.165	27.975	55.244	20.110
103.942	108.853	31.432	67.694	91.204	30.165	27.975	55.244	20.110
104.381	109.548	31.432	67.694	91.204	30.165	27.975	55.244	20.110
104.863	110.374	31.680	67.694	91.204	30.165	27.975	55.244	20.110
105.269	111.063	31.680	67.694	91.204	30.379	28.188	55.244	20.110
105.648	111.762	31.680	67.694	91.204	30.379	28.188	55.244	20.318
106.034	112.456	31.680	67.694	91.204	30.379	28.188	55.244	20.318
106.467	113.190	31.680	67.956	91.433	30.379	28.409	55.470	20.318
106.808	113.829	31.680	67.956	91.433	30.584	28.409	55.470	20.318
107.114	114.343	31.680	67.956	91.433	30.584	28.409	55.470	20.318
107.396	114.833	31.680	67.956	91.433	30.584	28.409	55.679	20.318
107.660	115.259	31.680	67.956	91.640	30.584	28.409	55.679	20.318
