RHand	LHand	Head
415.092	49.355	142.337
442.511	50.158	147.773
461.364	57.725	119.610
476.802	65.655	119.107
493.839	78.972	124.568
536.830	94.083	127.312
598.437	102.838	119.152
650.853	116.481	117.785
690.724	136.243	120.621
744.615	152.047	119.807
768.359	162.390	113.629
759.142	178.942	117.505
781.169	187.937	128.157
804.499	188.386	125.524
827.136	191.477	124.990
854.397	162.652	129.461
871.707	164.117	124.674
860.423	190.995	128.622
846.763	190.657	129.629
846.661	184.823	120.829
841.906	189.211	124.448
857.657	195.036	127.715
913.069	189.604	126.075
952.930	193.664	125.143
999.990	192.299	126.630
1042.834	190.109	127.190
1024.316	189.774	125.474
999.882	186.712	130.402
980.510	183.431	134.721
961.771	177.546	136.468
920.356	179.291	137.712
868.004	147.022	144.247
838.550	146.496	153.025
813.332	201.371	152.346
798.702	184.084	165.096
780.926	156.309	171.148
771.041	158.730	172.345
767.062	157.072	187.768
741.902	159.256	197.046
706.959	173.622	198.246
657.109	170.236	198.783
598.195	165.642	207.581
542.974	163.843	217.929
497.989	171.246	219.847
467.023	173.115	220.648
443.073	175.268	222.915
420.173	186.793	226.624
403.333	179.431	230.747
371.978	171.356	232.635
332.931	146.190	237.220
298.659	104.719	239.781
251.054	63.675	241.756
174.143	61.291	242.897
126.270	86.391	237.316
118.953	105.369	228.446
109.645	114.329	218.134
106.369	130.668	205.361
110.087	131.185	195.246
107.694	110.129	186.174
100.763	102.547	170.365
87.872	83.930	158.822
74.883	57.716	149.662
69.840	42.594	144.008
68.786	23.329	140.974
68.426	7.959	138.329
68.193	24.336	141.733
59.522	33.272	162.228
53.873	33.751	164.399
54.646	32.806	151.699
58.163	31.502	156.722
64.647	30.790	155.625
66.851	33.603	162.566
68.501	39.355	166.674
69.358	45.965	162.761
70.419	53.888	168.758
66.782	65.486	170.116
64.708	75.412	172.392
66.600	79.033	172.567
66.361	81.569	176.451
61.414	78.021	185.325
51.490	70.946	182.264
42.986	65.464	185.378
39.210	54.513	191.788
40.302	45.382	188.367
43.771	44.908	194.485
41.533	49.904	199.153
40.840	54.327	197.746
37.758	61.990	201.176
28.618	75.852	196.429
26.254	92.634	196.347
29.843	96.621	196.116
29.586	79.368	183.707
31.772	45.486	180.473
35.895	13.664	184.709
42.846	14.508	176.308
46.479	24.765	171.327
43.621	30.372	172.810
40.005	28.861	165.704
37.434	27.551	161.207
37.628	27.569	153.797
39.701	29.212	147.658
39.121	25.662	141.754
33.377	19.189	131.862
32.636	17.389	130.593
29.898	17.416	129.866
27.388	15.452	124.395
32.554	12.419	120.649
35.388	13.227	124.971
38.041	17.596	122.332
42.532	21.802	118.318
44.702	33.448	116.360
49.199	40.139	111.057
49.350	35.784	109.293
49.338	32.281	103.736
49.344	26.977	96.933
43.958	22.934	94.176
40.791	23.965	94.580
40.985	27.901	91.957
44.000	33.231	94.574
50.307	33.406	95.055
51.167	28.511	90.723
47.743	23.445	90.952
43.095	21.293	89.206
36.873	19.833	83.583
36.530	18.577	77.530
41.929	16.989	73.977
49.571	25.011	76.741
56.852	27.199	72.497
60.575	23.494	62.814
60.941	24.516	60.848
62.563	21.129	56.874
64.451	21.102	52.487
63.817	19.922	44.533
60.224	16.971	34.761
44.385	19.593	30.913
38.918	21.281	30.561
47.884	23.279	30.882
46.715	26.881	27.156
43.159	32.330	21.861
38.931	36.633	18.227
33.548	41.370	17.461
27.211	44.666	15.541
20.312	38.728	14.625
16.001	31.386	18.105
14.627	33.604	20.529
13.116	37.807	23.884
10.053	38.316	28.446
11.997	37.142	34.559
15.439	34.684	38.967
22.230	24.504	40.443
26.434	12.632	41.427
28.991	8.246	41.951
29.775	11.546	39.698
27.857	3.466	36.913
24.732	4.029	36.791
22.313	6.960	40.864
22.721	7.645	39.814
31.063	10.666	34.936
