P3_hand_rP3whole_dist_traveled	P3_hand_lP3whole_dist_traveled	P3_shoulder_lP3whole_dist_traveled	P3_elbow_rP3whole_dist_traveled	P3_shoulder_rP3whole_dist_traveled	P3_headP3whole_dist_traveled	P3_elbow_lP3whole_dist_traveled
120.503	100.339	87.961	80.042	78.426	273.061	53.297
120.503	100.339	87.961	80.042	78.426	273.303	53.297
120.503	100.339	88.181	80.042	78.680	273.545	53.297
120.503	100.339	88.181	80.042	78.680	273.818	53.500
120.503	100.339	88.389	80.042	78.927	274.047	53.500
120.503	100.339	88.389	80.042	78.927	274.047	53.500
120.503	100.339	88.604	80.042	79.161	274.409	53.500
120.503	100.339	88.604	80.262	79.161	274.409	53.751
120.503	100.539	88.858	80.262	79.366	274.713	53.751
120.503	100.539	88.858	80.262	79.366	274.713	53.751
120.503	100.539	89.087	80.262	79.366	274.972	53.751
120.503	100.539	89.087	80.262	79.623	274.972	54.000
120.503	100.539	89.331	80.262	79.623	275.186	54.000
120.709	100.539	89.331	80.262	79.623	275.186	54.000
120.709	100.539	89.555	80.492	79.910	275.186	54.216
120.709	100.539	89.555	80.492	79.910	275.497	54.216
120.709	100.539	89.784	80.492	79.910	275.497	54.216
120.709	100.539	89.784	80.492	80.181	275.770	54.216
120.709	100.539	90.012	80.492	80.181	275.770	54.461
120.709	100.763	90.012	80.712	80.181	276.060	54.461
120.709	100.763	90.012	80.712	80.384	276.060	54.461
120.709	100.763	90.281	80.712	80.384	276.402	54.461
120.916	100.763	90.281	80.712	80.384	276.402	54.461
120.916	100.763	90.281	80.712	80.384	276.737	54.461
120.916	100.763	90.504	80.712	80.629	276.949	54.461
120.916	100.763	90.504	80.712	80.629	276.949	54.461
120.916	100.763	90.504	80.712	80.629	277.312	54.461
120.916	100.763	90.709	80.912	80.866	277.312	54.461
120.916	100.763	90.709	80.912	80.866	277.648	54.664
120.916	100.763	90.709	80.912	81.076	277.648	54.664
121.153	100.763	90.969	81.151	81.076	278.002	54.664
