RHand	Head	LHand
76.872	31.750	74.415
65.710	22.634	92.146
49.445	18.476	103.160
33.202	18.558	110.477
23.716	19.015	115.973
24.353	24.078	109.366
23.226	26.407	71.015
25.494	28.618	30.090
29.660	34.100	28.952
29.625	37.771	41.757
25.664	39.565	50.799
19.549	43.848	55.255
13.773	48.691	50.466
15.737	53.003	42.290
25.439	56.919	38.955
26.117	59.677	38.288
35.576	62.847	36.519
56.950	70.919	37.711
75.355	73.832	42.845
92.127	68.990	55.446
103.532	72.471	65.024
111.162	79.418	63.921
118.035	78.903	58.663
129.446	81.665	56.346
134.357	90.004	62.350
112.130	89.185	55.104
57.919	87.263	37.266
34.817	86.525	25.380
40.221	78.331	18.419
43.356	82.033	15.212
43.648	86.265	15.421
44.669	76.671	16.059
41.977	74.487	17.786
37.398	80.187	17.181
33.288	78.252	16.041
33.992	72.635	16.997
39.135	73.636	19.956
43.304	73.301	23.623
45.516	67.262	31.324
53.864	65.120	39.283
58.525	64.690	51.091
53.408	62.201	63.654
50.065	57.645	79.426
48.327	50.745	95.854
47.242	48.813	109.642
37.247	49.642	119.978
26.159	45.502	106.322
22.000	38.155	79.314
13.621	35.488	54.108
5.381	33.617	38.892
3.452	28.164	50.423
6.726	24.268	66.254
8.585	21.785	83.712
13.606	21.457	93.399
18.464	20.524	97.951
29.539	17.739	104.584
40.995	16.534	103.780
49.394	14.199	90.013
63.703	11.063	79.300
79.606	9.175	73.251
98.452	7.483	54.506
113.692	7.396	39.562
115.712	7.199	25.267
74.409	7.479	15.315
26.231	6.892	12.799
26.332	9.052	14.805
35.502	12.360	16.892
35.385	11.386	21.629
26.877	13.086	27.905
18.682	14.483	36.914
22.885	12.931	41.701
22.240	14.689	44.392
21.611	16.464	59.786
24.640	15.455	70.438
32.562	14.503	84.871
46.967	15.228	96.486
63.570	14.402	110.803
69.272	10.881	123.609
72.604	9.346	121.892
69.332	9.343	92.428
66.518	4.640	57.677
65.499	4.646	22.359
61.508	6.336	37.541
58.207	10.096	54.646
52.924	17.385	58.674
47.505	21.710	50.724
43.227	27.680	48.474
33.810	32.553	49.418
25.774	39.757	50.096
19.959	46.400	52.182
6.823	47.939	55.532
8.861	51.513	66.270
29.756	46.823	77.445
56.910	44.186	80.987
87.155	47.174	79.460
112.785	49.978	79.981
129.822	55.919	75.099
