P2_hands_comp_Distance_X	P2_hands_comp_Distance_Y	P2_hands_comp_Distance_Z
-65.978	154.005	1.122
-65.930	154.025	1.124
-65.888	154.008	1.105
-65.824	153.988	1.067
-65.755	153.976	1.003
-65.708	153.974	0.933
-65.678	153.974	0.901
-65.383	153.701	0.811
-65.367	153.689	0.790
-65.424	153.796	0.894
-65.447	153.714	0.909
-65.494	153.668	0.974
-65.484	153.587	0.982
-65.485	153.542	1.010
-65.465	153.471	1.000
-65.384	153.396	0.983
-65.535	153.468	0.954
-65.451	153.434	0.891
-65.328	153.361	0.784
-65.216	153.339	0.684
-65.078	153.281	0.582
-64.906	153.260	0.470
-64.715	153.178	0.336
-64.462	153.084	0.155
-64.192	152.955	-0.084
-63.849	152.808	-0.391
-63.520	152.660	-0.663
-63.172	152.537	-0.966
-62.801	152.482	-1.231
-62.436	152.430	-1.479
-62.262	152.503	-1.639
-62.157	152.572	-1.641
-62.117	152.607	-1.572
-62.118	152.676	-1.470
-62.117	152.699	-1.359
-62.090	152.712	-1.301
-62.062	152.733	-1.349
-61.994	152.767	-1.464
-61.916	152.854	-1.533
-61.876	152.928	-1.608
-61.799	152.985	-1.727
-61.714	153.064	-1.795
-61.621	153.159	-1.846
-61.730	153.358	-1.692
-61.675	153.481	-1.779
-61.609	153.609	-1.830
-61.559	153.680	-1.981
-61.476	153.815	-2.035
-61.455	153.923	-2.092
-61.423	154.063	-2.125
-61.401	154.171	-2.135
-61.402	154.260	-2.181
-61.388	154.337	-2.165
-61.366	154.362	-2.192
-61.324	154.419	-2.198
-61.326	154.417	-2.206
-61.294	154.377	-2.203
-61.325	154.388	-2.120
-61.339	154.327	-2.057
-61.330	154.265	-2.015
-61.352	154.256	-1.892
-61.388	154.251	-1.834
-61.418	154.195	-1.785
-61.464	154.124	-1.741
-61.527	154.040	-1.665
-61.621	154.028	-1.569
-61.732	153.974	-1.475
-61.836	153.923	-1.386
-61.786	153.751	-1.507
-61.885	153.738	-1.434
-62.182	153.974	-1.104
-62.263	154.051	-1.098
-62.118	154.062	-1.382
-62.397	154.381	-1.134
-62.256	154.439	-1.411
-62.282	154.608	-1.451
-62.301	154.771	-1.500
-62.527	155.110	-1.219
-62.540	155.248	-1.213
-62.548	155.341	-1.176
-62.331	155.282	-1.394
-62.565	155.546	-1.098
-62.593	155.666	-1.018
-62.619	155.693	-0.931
-62.673	155.675	-0.817
-62.716	155.569	-0.708
-62.756	155.419	-0.602
-62.783	155.202	-0.507
-62.809	155.013	-0.393
-62.585	154.623	-0.491
-62.522	154.258	-0.430
-62.648	154.013	-0.152
-62.508	153.614	-0.127
-62.228	153.063	-0.354
-62.171	152.671	-0.422
-62.347	152.423	-0.277
-62.074	151.926	-0.590
-62.006	151.496	-0.663
-61.956	151.164	-0.695
-61.932	150.858	-0.705
-61.942	150.618	-0.667
-61.987	150.477	-0.539
-62.110	150.440	-0.384
-62.552	150.621	0.044
-62.618	150.526	-0.031
-63.021	150.630	0.101
-63.418	150.820	0.169
-63.890	151.037	0.312
-64.423	151.324	0.378
-64.880	151.653	0.391
-65.279	152.028	0.340
-65.655	152.379	0.277
-66.008	152.824	0.245
-66.300	153.268	0.194
-66.490	153.690	0.170
-66.637	154.084	0.076
-66.735	154.464	0.025
-66.594	154.542	-0.051
-66.585	154.773	-0.071
-66.551	155.064	-0.091
-66.474	155.338	-0.076
-66.680	156.029	0.172
-66.518	156.260	0.096
-66.104	156.283	-0.173
-65.954	156.504	-0.165
-65.826	156.617	-0.148
-65.926	156.771	-0.069
-66.088	156.983	0.184
-65.849	156.830	0.044
-65.856	156.795	0.109
-65.827	156.739	0.191
-65.852	156.634	0.283
-65.830	156.527	0.309
-65.797	156.432	0.316
-65.714	156.283	0.299
-65.629	156.066	0.244
-65.557	155.881	0.216
-65.373	155.416	0.116
-65.671	155.473	0.250
-65.751	155.260	0.358
-65.855	155.044	0.461
-65.732	154.584	0.440
-65.874	154.365	0.525
-66.017	154.247	0.581
-66.196	154.308	0.638
-66.331	154.245	0.654
-66.407	154.383	0.718
-66.416	154.537	0.689
-66.390	154.763	0.664
-66.254	155.002	0.595
-66.315	155.356	0.577
-66.144	155.524	0.514
-66.010	155.670	0.473
-65.939	155.822	0.450
-65.851	155.922	0.424
-65.842	155.990	0.425
-65.827	156.044	0.440
-65.890	156.065	0.475
-65.920	156.068	0.487
-65.972	156.123	0.477
-65.969	156.164	0.445
-66.002	156.208	0.399
-65.991	156.216	0.349
-65.974	156.203	0.310
-65.967	156.157	0.299
-65.941	156.105	0.291
-65.883	156.060	0.306
-65.848	155.946	0.241
-65.811	155.912	0.242
-65.672	155.859	0.239
-65.564	155.814	0.219
-65.436	155.792	0.175
-65.290	155.810	0.118
-65.152	155.849	0.076
-65.013	155.931	-0.000
-64.863	156.018	-0.084
-64.762	156.077	-0.176
-64.660	156.107	-0.263
-64.578	156.133	-0.334
-64.534	156.161	-0.407
-64.509	156.145	-0.480
-64.480	156.151	-0.520
-64.494	156.195	-0.544
-64.530	156.228	-0.563
-64.604	156.298	-0.584
-64.645	156.348	-0.545
-64.724	156.377	-0.527
-64.812	156.430	-0.464
-64.920	156.502	-0.400
-64.998	156.562	-0.347
-65.078	156.668	-0.307
-65.139	156.804	-0.299
