RHand_X	RHand_Y	RHand_Z	Head_X	Head_Y	Head_Z	LHand_X	LHand_Y	LHand_Z
0.934	2.707	1.027	14.431	9.050	6.337	1.051	50.791	0.849
0.934	2.707	1.027	14.431	9.289	6.550	1.051	51.393	0.849
0.934	2.707	1.027	14.738	9.289	6.792	1.051	51.393	0.849
0.934	2.707	1.027	14.738	9.289	6.792	1.051	51.999	0.849
0.934	2.707	1.027	15.073	9.289	7.173	1.051	51.999	0.849
0.934	2.707	1.027	15.073	9.545	7.173	1.051	51.999	0.849
0.934	2.707	1.027	15.363	9.545	7.492	1.051	52.604	0.849
0.934	2.707	1.027	15.363	9.545	7.492	1.051	52.604	0.849
0.934	2.707	1.027	15.363	9.545	7.698	1.051	52.604	0.849
0.934	2.707	1.027	15.587	9.545	7.698	1.051	52.604	0.849
0.934	2.707	1.027	15.587	9.545	7.698	1.051	52.604	0.849
0.934	2.707	1.027	15.587	9.545	7.698	1.051	52.604	0.849
0.934	2.707	1.027	15.587	9.545	7.902	1.051	52.604	0.849
0.934	2.707	1.027	15.860	9.752	7.902	1.051	52.604	0.849
0.934	2.707	1.027	15.860	9.752	8.242	1.051	52.604	0.849
0.934	2.707	1.027	16.208	9.752	8.486	1.051	52.604	0.849
0.934	2.707	1.027	16.208	9.968	8.734	1.051	52.604	0.849
